Name,Meaning,Gender,Origin,Similar
Achariya,wonderful; marvelous,Female,Cambodian,-
Acharya,wonderful; marvelous,Male,Cambodian,-
Akara,letter,Female,Cambodian,-
Akra,letter,Male,Cambodian,-
Amara,deity,Male,Cambodian,-
Anchali,hand,Female,Cambodian,-
Anchaly,hand,Male,Cambodian,-
Arun,morning sun,Male,Cambodian,-
Arunny,morning sun,Female,Cambodian,-
Ary,knowledge,Female,Cambodian,-
Atith,sunny day; Sunday,Male,Cambodian,-
Bona,boy; man,Male,Cambodian,-
Bopha,flower,Female,Cambodian,-
Bora,ancient,Male,Cambodian,-
Boran,ancient,Male,Cambodian,-
Borey,country; great city,Male,Cambodian,-
Botum,a princess,Female,Cambodian,-
Boupha,like a flower,Female,Cambodian,-
Bourey,country; great city,Male,Cambodian,-
Bunroeun,the country,Male,Cambodian,-
Chakara,center of energy,Male,Cambodian,-
Chakra,center of energy,Male,Cambodian,-
Champei,frangipani flowers,Female,Cambodian,-
Champey,frangipani flowers,Female,Cambodian,-
Chamroeun,prosperity,Female,Cambodian,-
Chamroeun,prosperity,Male,Cambodian,-
Chan,moon; Monday,Female,Cambodian,-
Chankrisna,a sweet-smelling tree,Female,Cambodian,-
Chankrisna,a sweet-smelling tree,Male,Cambodian,-
Chanlina,moonlight,Female,Cambodian,-
Chanmony,shines like the moon,Female,Cambodian,-
Chann,the moon,Male,Cambodian,-
Channary,moon faced,Female,Cambodian,-
Chanthavy,beautiful moon girl,Female,Cambodian,-
Chanthou,flower,Male,Cambodian,-
Chantou,flower,Female,Cambodian,-
Chantrea,moon,Female,Cambodian,-
Chantrea,moonlight,Male,Cambodian,-
Chanvatey,educated person; scholar,Female,Cambodian,-
Chanvatey,educated person; scholar,Male,Cambodian,-
Chariya,good character,Female,Cambodian,-
Charya,good character,Male,Cambodian,-
Chavy,little angel,Female,Cambodian,-
Chaya,glorious; praise,Female,Cambodian,-
Chea,to be well; healthy,Female,Cambodian,-
Chea,to be well; healthy,Male,Cambodian,-
Chenda,thought; intelligence,Female,Cambodian,-
Chhaiya,image; beautiful light,Female,Cambodian,-
Chhay,attractive; charming,Male,Cambodian,-
Chhaya,image; beautiful light,Male,Cambodian,-
Chhean,meditation,Female,Cambodian,-
Chhorvin,glamorous,Female,Cambodian,-
Chhorvon,glamorous,Female,Cambodian,-
Chivy,life,Female,Cambodian,-
Choum,refreshingly beautiful,Female,Cambodian,-
