Name,Meaning,Gender,Origin,Similar
Abasi,Stern.,Male,Egyptian,-
Abayomi,Brings joy.,Male,Egyptian,-
Abubakar,Noble.,Male,Egyptian,-
Acenath,Daughter. Biblical - Joseph's Egyptian wife.,Female,Egyptian,-
Adeben,Twelfth born.,Male,Egyptian,-
Adio,Righteous.,Male,Egyptian,-
Adofo,Fighter.,Male,Egyptian,-
Adom,Receives help from the gods.,Male,Egyptian,-
Ain,Priceless.,Female,Egyptian,-
Akhenaten,Devoted to Aten.,Male,Egyptian,-
Akiiki,Friendly.,Male,Egyptian,-
Akil,Intelligent.,Male,Egyptian,-
Akila,Intelligent.,Female,Egyptian,-
Akins,Brave.,Male,Egyptian,-
Amen,Ra - personification of the power of the universe and god of a united Egypt.,Male,Egyptian,-
Amenhotep,Name of a pharaoh.,Male,Egyptian,-
Amenophis,Name of a pharaoh.,Male,Egyptian,-
Ammon,God of a united Egypt.,Male,Egyptian,-
Amsi,Personification of reproduction.,Male,Egyptian,-
Amsu,Personification of reproduction.,Male,Egyptian,-
Amun,God of mystery.,Male,Egyptian,-
Amunet,Mythical goddess of mystery.,Female,Egyptian,-
Anat,A wife of Seth.,Female,Egyptian,-
Anippe,Daughter of the Nile.,Female,Egyptian,-
Anpu,God of the dead.,Male,Egyptian,-
Anubis,God of the dead.,Male,Egyptian,-
Anum,Fifth born.,Male,Egyptian,-
Anzety,God of Busiris.,Male,Egyptian,-
Apis,Mythical dead bull thought to be Osiris.,Male,Egyptian,-
Asenath,Daughter.,Female,Egyptian,-
Asim,Protector.,Male,Egyptian,-
Astarte,A wife of Seth.,Female,Egyptian,-
Astennu,God of the moon.,Male,Egyptian,-
Aswad,Black.,Male,Egyptian,-
Ata,Twin.,Male,Egyptian,-
Atemu,Mythical great god of Annu.,Male,Egyptian,-
Aten,Sun disk.,Male,Egyptian,-
Atsu,Twin.,Male,Egyptian,-
Atum,Whole.,Male,Egyptian,-
Ausar,Another name for Osiris.,Male,Egyptian,-
Auset,Another name for Isis.,Female,Egyptian,-
Azibo,Earth.,Male,Egyptian,-
Aziza,Precious.,Female,Egyptian,-
Azizi,Precious.,Male,Egyptian,-
Baba,Osiris's firstborn.,Male,Egyptian,-
Babafemi,Beloved of his father.,Male,Egyptian,-
Babu,Osiris's firstborn.,Male,Egyptian,-
Badru,Born during the full moon.,Male,Egyptian,-
Bahiti,Fortune.,Female,Egyptian,-
Bakari,Noble oath.,Male,Egyptian,-
Baniti,Teacher.,Male,Egyptian,-
Bast,Personification of the heat of the sun.,Female,Egyptian,-
Bastet,Eat.,Female,Egyptian,-
Bastet,A cat.,Male,Egyptian,-
Beb,Osiris's firstborn.,Male,Egyptian,-
Bebti,Osiris's firstborn.,Male,Egyptian,-
Bennu,Eagle.,Female,Egyptian,-
Bes,Brings joy.,Male,Egyptian,-
Bomani,Warrior.,Male,Egyptian,-
Chafulumisa,Fast.,Male,Egyptian,-
Chaths,Ends.,Male,Egyptian,-
Chatuluka,Departs.,Male,Egyptian,-
Chenzira,Born on a journey.,Male,Egyptian,-
Cheops,Name of a pharaoh.,Male,Egyptian,-
Chibale,Kinsman.,Male,Egyptian,-
Chigaru,Hound.,Male,Egyptian,-
Chike,Power of God.,Male,Egyptian,-
Chione,Mythical daughter of the Nile.,Female,Egyptian,-
Chisisi,Secret.,Male,Egyptian,-
Chuma,Wealthy.,Male,Egyptian,-
Cleopatra,A queen of Eygpt.,Female,Egyptian,-
Dakarai,Happy.,Male,Egyptian,-
Dalila,Gentle.,Female,Egyptian,-
Darius,Name of a pharaoh.,Male,Egyptian,-
Darwishi,Saint.,Male,Egyptian,-
Dendera,From Dendera.,Female,Egyptian,-
Djoser,Name of a pharaoh.,Male,Egyptian,-
Donkor,Humble.,Male,Egyptian,-
Ebo,Born on Tuesday.,Male,Egyptian,-
Ebonee,Black.,Female,Egyptian,-
Eboni,Black.,Female,Egyptian,-
Ebonique,Black.,Female,Egyptian,-
Ebony,Black.,Female,Egyptian,-
Echidna,Mythical monster.,Female,Egyptian,-
Edfu,From Edfu.,Male,Egyptian,-
Edjo,Another form of Uadjit.,Female,Egyptian,-
Eshe,Life.,Female,Egyptian,-
Fadil,Generous.,Male,Egyptian,-
Femi,Love.,Female,Egyptian,-
Fenuku,Born late.,Male,Egyptian,-
Fenyang,Conquers.,Male,Egyptian,-
Fukayna,Intelligent.,Female,Egyptian,-
Funsani,A request.,Male,Egyptian,-
Gahiji,Hunter.,Male,Egyptian,-
Garai,Settled.,Male,Egyptian,-
Geb,Mythical earth god.,Male,Egyptian,-
Gyasi,Wonderful.,Male,Egyptian,-
Habibah,Loved.,Female,Egyptian,-
Hafsah,Married to the prophet.,Female,Egyptian,-
Haji,Born during the pilgrimage.,Male,Egyptian,-
Hakizimana,God saves.,Male,Egyptian,-
