Name,Meaning,Gender,Origin,Similar
Aaarti,Worship,Female,Indian,-
Aab,Shine; Lustre,Female,Indian,-
Aaban,Name of an Angel,Male,Indian,-
Aabavaanan,Reliable or Responsible,Male,Indian,-
Aabha,Glow,Female,Indian,-
Aabharan,Jewel,Male,Indian,-
Aabharana,Jewel,Female,Indian,-
Aabhas,The Sense or Feelings,Male,Indian,-
Aabhass,Awareness,Male,Indian,-
Aabhavannan,Light,Male,Indian,-
Aabheer,A Cow-herd,Male,Indian,-
Aabher,A Cow-herd,Male,Indian,-
Aabir,N/A,Male,Indian,-
Aabira,Colour,Female,Indian,-
Aaboli,Name of a Flower,Female,Indian,-
Aachalendra,Himalayas,Male,Indian,-
Aacharappan,Restless or Proactive,Male,Indian,-
Aacharya,Teacher; Another Name for Drona,Male,Indian,-
Aachman,Intake of a Sip of Water Before a Yagya or Puja,Male,Indian,-
Aadab,Hope and Need,Female,Indian,-
Aadab,Good Wish,Male,Indian,-
Aadalarasan,Attraction,Male,Indian,-
Aadalarasu,King of Dance,Male,Indian,-
Aadarsh,Ideal,Female,Indian,-
Aadarsh,Ideal,Male,Indian,-
Aadarsha,Ideal,Female,Indian,-
Aadarshini,Idealistic,Female,Indian,-
Aadava,Sun,Male,Indian,-
Aadavan,Sun,Male,Indian,-
Aaddhar,Foundation,Male,Indian,-
Aademma,N/A,Female,Indian,-
Aadesh,Command; Message,Male,Indian,-
Aadhan,Be First,Male,Indian,-
Aadhana,Being First,Female,Indian,-
Aadhar,Base; Brilliant Like the Sun,Male,Indian,-
Aadhav,Ruler,Male,Indian,-
Aadhavan,Brilliant Like the Sun; Lord Vishnu,Male,Indian,-
Aadhaya,First Power,Female,Indian,-
Aadhesh,Sun,Male,Indian,-
Aadhev,First,Male,Indian,-
Aadhikara,Lord Shiva,Male,Indian,-
Aadhikesavan,One who is Ideal for Others,Male,Indian,-
Aadhilakshmi,Summer Sun,Female,Indian,-
Aadhimulam,One who is Very First of Everything,Male,Indian,-
Aadhinarayanan,The First God,Male,Indian,-
Aadhira,Moon,Female,Indian,-
Aadhira,Moon,Male,Indian,-
Aadhirai,A Special Star,Female,Indian,-
Aadhirai,A Special Star,Male,Indian,-
Aadhiseshan,Any One,Male,Indian,-
Aadhish,King,Male,Indian,-
Aadhishankar,Sri Shankaracharya; Founder of Adwaitha Philosophy,Male,Indian,-
Aadhunik,Modern; New,Male,Indian,-
Aadhya,First Power,Female,Indian,-
Aadi,First; Most Important,Male,Indian,-
Aadidev,The First God,Male,Indian,-
Aadideva,Highest God,Male,Indian,-
Aadijay,The First Victory,Male,Indian,-
Aadil,Justice,Male,Indian,-
Aadimoola,Supreme Being,Male,Indian,-
Aadinath,God; Supreme Ruler of the Universe; The First God,Male,Indian,-
Aadinatha,The Primordial Master,Male,Indian,-
Aadipta,Bright,Male,Indian,-
Aadir,Origin; Beginning,Male,Indian,-
Aadish,Full of Wisdom; Intelligent,Male,Indian,-
Aadishree,Exalted,Female,Indian,-
Aadishwar,Aadishwar; Bhagvan; First Jain Tirthankara,Male,Indian,-
Aadit,N/A,Female,Indian,-
Aadit,Peak,Male,Indian,-
Aadita,From the Begining,Female,Indian,-
Aaditey,Son of Aditi,Male,Indian,-
Aaditeya,Son of Aditi,Male,Indian,-
Aadithya,The Sun,Male,Indian,-
Aaditi,Beginning,Female,Indian,-
Aaditree,Goddess,Female,Indian,-
Aaditri,Godess Laxmi,Female,Indian,-
Aaditva,The Sun,Male,Indian,-
Aaditya,Sun,Male,Indian,-
Aadityesh,Power of Sun,Male,Indian,-
Aadiv,Delicate,Male,Indian,-
Aadiyapadham,One who is Very Active or Quick,Male,Indian,-
Aadrika,Mountain,Female,Indian,-
Aadrita,Adorable,Female,Indian,-
Aadurusta,Lucky,Male,Indian,-
Aadvay,Unique,Male,Indian,-
Aadved,Unique in Universe,Male,Indian,-
Aadvika,Unique,Female,Indian,-
Aadya,Name of Adisakthi; Parvathi,Female,Indian,-
Aadya,Light; The Earliest; Lord Shiva,Male,Indian,-
Aafiya,Good Health,Male,Indian,-
Aafreen,Encouragement,Female,Indian,-
Aafreen,Encouragement,Male,Indian,-
Aaftab,The Sun,Female,Indian,-
