Name,Meaning,Gender,Origin,Similar
Abban,Abbot,Male,Irish,-
Abiageal,Exalted father,Female,Irish,-
Abracham,Father of a multitude,Male,Irish,-
Adamnan,Little Adam,Male,Irish,-
Adan,Little fire,Female,Irish,-
Adara,Beauty,Female,Irish,-
Adare,Ford of the oak tree,Male,Irish,-
Addergoole,From between two fords,Male,Irish,-
Adeen,Noble,Female,Irish,-
Aderrig,From the red ford,Male,Irish,-
Adhamh,Of the earth,Male,Irish,-
Aeary,Scholar,Male,Irish,-
Aengus,Preeminet,Male,Irish,-
Afric,Pleasant,Female,Irish,-
Africa,Pleasant,Female,Irish,-
Agata,Kind,Female,Irish,-
Agate,Kind,Female,Irish,-
Aghna,Pure,Female,Irish,-
Aguistin,Majestic,Male,Irish,-
Ahana,From the little ford,Female,Irish,-
Ahane,From the little ford,Male,Irish,-
Ahearn,Lord of the horses,Male,Irish,-
Ahern,Lord of the horses,Male,Irish,-
Aidan,Little fiery one,Female,Irish,-
Aidan,Little fiery one,Male,Irish,-
Aideen,Little fire,Female,Irish,-
Aiden,Little fiery one,Male,Irish,-
Aidrian,Dark,Male,Irish,-
Aifric,Pleasant,Female,Irish,-
Aigneis,Pure,Female,Irish,-
Aileen,Light bearer,Female,Irish,-
Aileene,Light bearer,Female,Irish,-
Ailey,Light,Female,Irish,-
Ailfrid,Wise,Male,Irish,-
Aili,Truthful,Female,Irish,-
Ailia,Light,Female,Irish,-
Ailin,Handsome,Male,Irish,-
Ailis,Noble,Female,Irish,-
Ailisa,Noble,Female,Irish,-
Ailise,Noble,Female,Irish,-
Aindreas,Manly,Male,Irish,-
Aine,Joy,Female,Irish,-
Aingeal,Angel,Female,Irish,-
Ainmire,Great lord,Male,Irish,-
Airleas,Oath,Female,Irish,-
Airleas,Pledge,Male,Irish,-
Aislin,Vision,Female,Irish,-
Aisling,Vision,Female,Irish,-
Aislinn,Vision,Female,Irish,-
Akaisha,the akaisha flower,Female,Irish,"Casey, Kasey"
Alaina,Attractive,Female,Irish,-
Alaine,Attractive,Female,Irish,-
Alana,Attractive,Female,Irish,-
Alani,Attractive,Female,Irish,-
Alanna,Attractive,Female,Irish,-
Alannah,Attractive,Female,Irish,-
Alastrina,Defender of mankind,Female,Irish,-
Alastriona,Defender of mankind,Female,Irish,-
Alayna,Attractive,Female,Irish,-
Alayne,Attractive,Female,Irish,-
Alhan,Pale,Male,Irish,-
Alina,Beautiful,Female,Irish,-
Alison,Truthful,Female,Irish,-
Aliyn,Attractive,Female,Irish,-
Allana,Attractive,Female,Irish,-
Allene,Attractive,Female,Irish,-
Allsun,Truthful,Female,Irish,-
Alma,Soul,Female,Irish,-
Alona,Dear child,Female,Irish,-
Alonna,Dear child,Female,Irish,-
Alphonsus,Noble or ready,Male,Irish,-
Alroy,Red haired,Male,Irish,-
Alsandair,Defender of man,Male,Irish,-
Alvy,Elfin,Female,Irish,-
Alyson,Truthful,Female,Irish,-
Amblaoibh,Relic,Male,Irish,-
Ambros,Divine,Male,Irish,-
Amery,Ridge or long hill,Male,Irish,-
Angus,Exceptional,Male,Irish,-
Anlon,Champion,Male,Irish,-
Anluan,Champion,Male,Irish,-
Anntoin,Priceless,Male,Irish,-
Aodhfin,White fire,Male,Irish,-
Aodhfionn,White fire,Male,Irish,-
Aoibheann,Fair,Female,Irish,-
Aoife,Beauty,Female,Irish,-
Aralt,Leader,Male,Irish,-
Ardagh,From the high field,Male,Irish,-
Ardal,High honor,Male,Irish,-
Ardala,Eager and industrious,Female,Irish,-
Ariyn,Pledge,Male,Irish,-
Ariyne,Pledge,Female,Irish,-
Arleen,Pledge,Female,Irish,-
Arlen,Pledge,Male,Irish,-
Arlena,Pledge,Female,Irish,-
Arlene,Pledge,Female,Irish,-
Arleta,Pledge,Female,Irish,-
Arlette,Pledge,Female,Irish,-
Arline,Pledge or oath,Female,Irish,-
Arliss,Pledge,Female,Irish,-
Art,Noble,Male,Irish,-
Arthgallo,High honor,Male,Irish,-
Artur,Noble,Male,Irish,-
Ashling,Vision,Female,Irish,-
Assan,Waterfall,Male,Irish,-
Assana,Waterfall,Female,Irish,-
Assane,Waterfall,Female,Irish,-
Asthore,Loved one,Female,Irish,-
Athdara,From the oak tree ford,Female,Irish,-
Athracht,Name of a saint,Female,Irish,-
Attracta,Name of a saint,Female,Irish,-
Augusteen,Majestic,Female,Irish,-
Auley,Ancestor,Male,Irish,-
Auliffe,Ancestor,Male,Irish,-
Aurnia,Golden lady,Female,Irish,-
Avonmora,From the great river,Female,Irish,-
Awnan,Little Adam,Male,Irish,-
Baethan,Foolish,Male,Irish,-
Baibre,Stranger,Female,Irish,-
Bailintin,Valiant,Male,Irish,-
Bain,Fair bridge,Male,Irish,-
Baird,Poet,Male,Irish,-
Bairrfhoinn,Marksman,Male,Irish,-
Ballinamore,From the great river,Male,Irish,-
Ballindeny,From the town of oak wood,Male,Irish,-
Banan,White,Male,Irish,-
Banbhan,Piglet,Male,Irish,-
