Name,Meaning,Gender,Origin,Similar
Ai,love,Female,Japanese,-
Aika,love song,Female,Japanese,-
Aiko,"beloved one, little love",Female,Japanese,-
Aimi,love beauty,Female,Japanese,-
Aiya,beautiful silk,Female,Japanese,-
Akako,red,Female,Japanese,-
Akane,brilliant red,Female,Japanese,-
Akasuki,bright helper,Female,Japanese,-
Akemi,beauty of dawn,Male,Japanese,-
Aki,autumn; bright,Female,Japanese,-
Akihiko,shining prince,Male,Japanese,-
Akihiro,bright scholar,Male,Japanese,-
Akiko,autumn child,Female,Japanese,-
Akina,spring flower,Female,Japanese,-
Akira,bright and clear dawn,Female,Japanese,-
Akira,bright and clear dawn,Male,Japanese,-
Amaterasu,sun goddess,Female,Japanese,-
Amaya,night rain,Female,Japanese,-
Ami,friend,Female,Japanese,-
Amida,name of Buddha,Female,Japanese,-
Amida,name of Buddha,Male,Japanese,-
Anka,color of dawn,Female,Japanese,-
Annaisha,helpful guide to others,Female,Japanese,-
Annya,peace and sustenance,Female,Japanese,-
Anzu,apricot,Female,Japanese,-
Arakan,worthy one; hero,Male,Japanese,-
Arata,fresh,Male,Japanese,-
Arisu,noble sort,Female,Japanese,-
Asa,born in morning,Female,Japanese,-
Asami,morning beauty,Female,Japanese,-
Asuka,tomorrow fragrance,Female,Japanese,-
Atsushi,cordial; industrious,Male,Japanese,-
Au,meeting,Female,Japanese,-
Ayaka,colorful flower,Female,Japanese,-
Ayako,scholarly child,Female,Japanese,-
Ayame,Iris,Female,Japanese,-
Ayano,colorful woven silk,Female,Japanese,-
Ayumi,stroll,Female,Japanese,-
Azami,thistle flower,Female,Japanese,-
Azumi,safe residence,Female,Japanese,-
Botan,peony,Male,Japanese,-
Bunko,literary child,Female,Japanese,-
Chiasa,one thousand mornings,Female,Japanese,-
Chieko,thousand blessings child,Female,Japanese,-
Chiharu,one thousand springs,Female,Japanese,-
Chika,near,Female,Japanese,-
Chikako,child of wisdom,Female,Japanese,-
Chinami,one-thousand waves,Female,Japanese,-
Chitose,thousand years,Female,Japanese,-
Chiyo,one thousand generations,Female,Japanese,-
Chizu,one thousand storks,Female,Japanese,-
Cho,butterfly,Female,Japanese,-
Dai,great,Female,Japanese,-
Daichi,great first son,Male,Japanese,-
Daisuke,great helper,Male,Japanese,-
Daitan,daring; bold one,Female,Japanese,-
Den,bequest from ancestors,Female,Japanese,-
Eichi,wisdom,Male,Japanese,-
Eiko,long-lived child,Female,Japanese,-
Eiko,prosperity,Male,Japanese,-
Emiko,smiling child,Female,Japanese,-
Emiyo,blessed beautiful generation,Female,Japanese,-
Ena,gift from God,Female,Japanese,-
Ena,gift from God,Male,Japanese,-
Eri,blessed prize,Female,Japanese,-
Erity,one who's special,Female,Japanese,-
Etsu,delight,Female,Japanese,-
Etsuko,joyful child,Female,Japanese,-
Ezume,pure water; pond,Male,Japanese,-
Fudo,god of fire and wisdom,Male,Japanese,-
Fujita,field,Both,Japanese,-
Fujita,field,Male,Japanese,-
Fumiko,child of treasured beauty,Female,Japanese,-
Gen,spring,Female,Japanese,-
Genki,lively one,Male,Japanese,-
Gin,silver,Female,Japanese,-
Gina,silvery,Female,Japanese,-
Goro,fifth son,Male,Japanese,-
Hachiro,eighth son,Male,Japanese,-
Hajime,beginning,Male,Japanese,-
Hana,favorite; flower,Female,Japanese,-
Hanako,flower child,Female,Japanese,-
Hanan,flower child,Female,Japanese,-
Haneen,flower child,Female,Japanese,-
Haru,born in the spring,Male,Japanese,-
Haruki,springtime tree,Female,Japanese,-
Haruo,springtime man,Male,Japanese,-
Haya,"quick, light",Female,Japanese,-
Hayami,rare and unusual beauty,Female,Japanese,-
Hide,excellent,Female,Japanese,-
Hideko,splendid child,Female,Japanese,-
Hideyo,superior generations,Female,Japanese,-
Hikaru,light; shining,Male,Japanese,-
Hiro,broad; widespread,Female,Japanese,-
Hiroki,abundant joy and strength,Male,Japanese,-
Hiromi,widespread beauty,Female,Japanese,-
Hiroshi,generous,Male,Japanese,-
Hiroyuki,widespread happiness,Male,Japanese,-
Hisa,long-lasting,Female,Japanese,-
Hisano,long plain,Female,Japanese,-
Hisoka,reserved,Male,Japanese,-
Hoshi,star,Both,Japanese,Hoshiko
Hoshi,star,Female,Japanese,-
Hotaru,firefly; lightning bug,Female,Japanese,-
