Name,Meaning,Gender,Origin,Similar
Ae-Cha,loving daughter,Female,Korean,-
Bae,inspiration,Female,Korean,-
Bae,inspiration,Male,Korean,-
Bo-Bae,"treasure, precious",Female,Korean,-
Bon-Hwa,glorious,Male,Korean,-
Bong,mythical bird - phoenix,Female,Korean,-
Bong,mythical bird - phoenix,Male,Korean,-
Bong-Cha,ultimate girl,Female,Korean,-
Chin,precious,Female,Korean,-
Chin,precious,Male,Korean,-
Chin-Hae,truth; ocean depth,Male,Korean,-
Chin-Hwa,most wealthy,Male,Korean,-
Chin-Mae,truth,Male,Korean,-
Chin-Sun,truth and goodness,Female,Korean,-
Cho,beautiful,Female,Korean,-
Cho,handsome,Male,Korean,-
Choon-Hee,spring girl,Female,Korean,-
Chul,firmness,Female,Korean,-
Chul-Moo,iron weapon,Male,Korean,-
Chun,spring,Female,Korean,-
Chun,spring,Male,Korean,-
Chung-Ae,righteous love,Female,Korean,-
Chung-Cha,righteous girl,Female,Korean,-
Chung-Hee,righteous,Male,Korean,-
Chung-Ho,righteous,Male,Korean,-
Dae,greatness,Female,Korean,-
Dae,greatness,Male,Korean,-
Dak-Ho,deep lake,Male,Korean,-
Doh,accomplishment,Male,Korean,-
Dong,east,Female,Korean,-
Dong,east,Male,Korean,-
Dong-Sun,eastern integrity,Male,Korean,-
Dong-Yul,eastern passion,Male,Korean,-
Du,head,Female,Korean,-
Duck-Hwan,integrity returns,Male,Korean,-
Duck-Young,integrity lasts,Male,Korean,-
Eui,righteousness,Female,Korean,-
Eun,silver,Female,Korean,-
Eun-Kyung,graceful gem,Female,Korean,-
Gi,brave; foundation,Female,Korean,-
Gi,brave; foundation,Male,Korean,-
Goo,completeness,Female,Korean,-
Gook,nation,Female,Korean,-
Gook,nation,Male,Korean,-
Ha-Neul,sky,Both,Korean,-
Hae,ocean,Female,Korean,-
Hae-Won,graceful garden,Female,Korean,-
Hak-Kun,rooted in intelligence,Male,Korean,-
Haneul,heaven; sky,Female,Korean,-
Haneul,heaven; sky,Male,Korean,-
Hea,grace,Female,Korean,Hei
Hee,pleasure,Female,Korean,-
Hee,brightness,Male,Korean,-
Hee-Young,joy and prosperity,Female,Korean,-
Hei,grace,Female,Korean,-
Hei,wisdom,Male,Korean,-
Hei-Ran,grace and orchid,Female,Korean,-
Ho,goodness; lake,Female,Korean,-
Ho,goodness; lake,Male,Korean,-
Ho-Sook,clear lake,Female,Korean,-
Hwa-Young,beautiful flower,Female,Korean,-
Hwan,shining; bright,Male,Korean,-
Hye,intelligent,Female,Korean,-
Hyo,filial duty,Female,Korean,-
Hyo-Sonn,filial and gentle,Female,Korean,-
Hyun,wisdom,Female,Korean,-
Hyun,virtuous,Male,Korean,-
Hyun-Ae,clever and loving,Female,Korean,-
Hyun-Ki,wise foundation,Male,Korean,-
Hyun-Ok,wise pearl,Female,Korean,-
Hyun-Shik,rooted in cleverness,Male,Korean,-
Il,superiority,Male,Korean,-
In,humanity; wise,Female,Korean,-
In,humanity; wise,Male,Korean,-
In-Su,preserving wisdom,Male,Korean,-
Iseul,dew,Female,Korean,-
Iseul,dew,Male,Korean,-
Ja,attractive; fiery,Female,Korean,-
Ja,attraction; magnetism,Male,Korean,-
Jae-Hwa,rich and prosperity,Male,Korean,-
Ji,wisdom,Female,Korean,-
Ji,wisdom,Male,Korean,-
Jin,jewel; truth,Female,Korean,-
Jin,jewel; truth,Male,Korean,-
Joo,jewel,Female,Korean,-
Joo-Chan,praise the Lord,Male,Korean,-
Joo-Eun,silver pearl,Female,Korean,-
Jung,chaste,Female,Korean,-
Jung,righteous,Male,Korean,-
Kang-Dae,strong and big,Male,Korean,-
Ki,arisen,Female,Korean,-
Kwan,strong,Female,Korean,-
Kwang-Sun,wide goodness,Male,Korean,-
Kyong,brightness,Female,Korean,-
Kyong,brightness,Male,Korean,-
Kyu,standard,Male,Korean,-
Kyung,respect,Female,Korean,-
Kyung,respect,Male,Korean,-
Kyung-Hu,girl in capital,Female,Korean,-
Kyung-Soon,honored and gentle,Female,Korean,-
Mal-Chin,persists to end,Male,Korean,-
Man-Shik,deep rootedness,Male,Korean,-
Man-Young,ten-thousand prosperous years,Male,Korean,-
Mee,beauty,Female,Korean,-
Mi-Cha,beautiful girl,Female,Korean,-
Mi-hi,beautiful joy,Female,Korean,-
Mi-Ok,beautiful pearl,Female,Korean,-
Min,cleverness,Female,Korean,-
Min,cleverness,Male,Korean,-
Moon,letters,Female,Korean,-
Moon,learned,Male,Korean,-
Mun-Hee,literate girl,Female,Korean,-
Mun-Hee,literate; shiny,Male,Korean,-
Myung,brightness,Female,Korean,-
