Name,Meaning,Gender,Origin,Similar
Abey,leaf,Female,Native-American,-
Abooksigun,Wildcat (Algonquin).,Male,Native-American,-
Abornazine,Abnaki word for keeper of the flame.,Male,Native-American,-
Abukcheech,Mouse (Algonquin).,Male,Native-American,-
Achak,Spirit (Algonquin).,Male,Native-American,-
Adahy,Lives in the woods (Cherokee).,Male,Native-American,-
Aditsan,Listener (Navajo).,Male,Native-American,-
Adoeete,Kiowa word for tree.,Male,Native-American,-
Adoerte,Variant of Adoeete: Kiowa word for tree.,Male,Native-American,-
Adooeette,Variant of Adoeete: Kiowa word for tree.,Male,Native-American,-
Adriel,"beaver, symbol of skill",Male,Native-American,-
Ahanu,He laughs (Algonquin).,Male,Native-American,-
Ahiga,He fights (Navajo).,Male,Native-American,-
Ahmik,Beaver.,Male,Native-American,-
Ahote,Restless one (Hopi).,Male,Native-American,-
Ahtunowhiho,One who lives below (Cheyenne).,Male,Native-American,-
Ahusaka,Winnebago word for wings.,Male,Native-American,-
Aiyana,eternal bllom,Female,Native-American,Ajana
Akando,ambush,Male,Native-American,-
Akecheta,Fighter (Sioux).,Male,Native-American,-
Akule,Looks up.,Male,Native-American,-
Alahmoot,Nez perce word for an elm branch.,Male,Native-American,-
Alaqua,sweet-gum tree,Female,Native-American,-
Aleekcheaahoosh,Crow name meaning accomplished.,Male,Native-American,-
Aleshanee,She plays all the time,Female,Native-American,-
Alikkees,Nez Perce name meaning haircut.,Male,Native-American,-
Allahkoliken,Nez Perce name meaning antlers.,Male,Native-American,-
Alo,Spiritual guide (Hopi).,Male,Native-American,-
Alona,oak tree,Female,Native-American,-
Amitola,rainbow,Female,Native-American,-
Anakausuen,Worker (Algonquin).,Male,Native-American,-
Angeni,spirit angel,Female,Native-American,-
Angvariationu Toke,Sioux name meaning another day.,Male,Native-American,-
Annawan,Variant of Annawon: Algonquin name meaning Chief.,Male,Native-American,-
Annawon,Algonquin name meaning Chief.,Male,Native-American,-
Anoki,an actor,Male,Native-American,-
Apash Wyakaikt,Nez Perce name meaning flint necklace.,Male,Native-American,-
Apenimon,Worthy of trust.,Male,Native-American,-
Apiatan,Kiowa name meaning lance.,Male,Native-American,-
Aponi,butterfly,Female,Native-American,-
Aponivi,Where the wind blows down the gap (Hopi).,Male,Native-American,-
Appanoose,Sauk word for child.,Male,Native-American,-
Aquene,peace,Female,Native-American,-
Ar-ke-kee-tah,Oto name meaning stay.,Male,Native-American,-
Aranck,Stars (Algonquin).,Male,Native-American,-
Arapoosh,Crow name meaning stomach ache.,Male,Native-American,-
Arre-catte Waho,Omaha name meaning large elk.,Male,Native-American,-
Ashishishe,Crow name for crow.,Male,Native-American,-
Ashkii,Boy (Navajo).,Male,Native-American,-
Ashkii Dighin,Navajo name meaning sacred child; holy child.,Male,Native-American,-
Askook,Snake (Algonquin).,Male,Native-American,-
Askuwheteau,He keeps watch (Algonquin).,Male,Native-American,-
Ata'halne',He interrupts (Navajo).,Male,Native-American,-
Atagulkalu,Cherokee name meaning pitched trees.,Male,Native-American,-
Atsidi,Navajo name meaning blacksmith.,Male,Native-American,-
Attakullakulla,Variant of Atagulkalu: Cherokee name meaning pitched trees.,Male,Native-American,-
Avonaco,Lean bear (Cheyenne).,Male,Native-American,-
Awan,Somebody.,Male,Native-American,-
Ayawamat,One who follows orders (Hopi).,Male,Native-American,-
Ayita,worker,Female,Native-American,-
Bagwunagijik,Variant of Buegoneguig: Chippewa name meaning hole in the sky.,Male,Native-American,-
Bemidii,Ojibwa name meaning river by a lake.,Male,Native-American,-
Bemossed,Walker.,Male,Native-American,-
Benquasha,daughter of Ben,Female,Native-American,"Quasha, Quay"
Beshiltheeni,Navajo name meaning metalworker.,Male,Native-American,-
Bidziil,He is strong (Navajo).,Male,Native-American,-
Bilagaana,White person (Navajo).,Male,Native-American,-
Bimisi,Slippery.,Male,Native-American,-
Bisahalani,Navajo name meaning speaker.,Male,Native-American,-
Bly,"high, tall",Female,Native-American,-
Bodaway,Fire maker.,Male,Native-American,-
Bornbazine,Variant of Abornazine: Abnaki word for keeper of the flame.,Male,Native-American,-
Buegoneguig,Chippewa name meaning hole in the sky.,Male,Native-American,-
Canowicakte,Sioux name meaning forest hunter.,Male,Native-American,-
Cashesegra,Osage name meaning tracks of a large animal.,Male,Native-American,-
Cetanwakuwa,Sioux name meaning attacking hawk.,Male,Native-American,-
Cha'akmongwi,Crier chief (Hopi).,Male,Native-American,-
Cha'tima,The caller (Hopi).,Male,Native-American,-
Chankoowashtay,Good road (Sioux).,Male,Native-American,-
Chansomps,Locust (Algonquin).,Male,Native-American,-
Chas chunk a,Wave (Winnebago).,Male,Native-American,-
Chaska,Sioux name given to the first son born.,Male,Native-American,-
Chavatangakwunua,Short rainbow (Hopi).,Male,Native-American,-
Chayton,Falcon (Sioux).,Male,Native-American,-
Cheasequah,Cherokee name meaning red bird.,Male,Native-American,-
Cheauka,Hopi name meaning clay.,Male,Native-American,-
Chebona Bula,Creek name meaning laughing boy.,Male,Native-American,-
Chenoa,white dove,Female,Native-American,-
Cherokee,People of a different speech. One of the largest American Indian tribes.,Male,Native-American,-
Chesmu,Rough; abrasive; witty.,Male,Native-American,-
Cheveyo,Spirit warrior (Hopi).,Male,Native-American,-
Cheyenne,,Female,Native-American,-
Chilali,snowbird,Female,Native-American,-
Chimalis,bluebird,Female,Native-American,-
Chitto,Creek name meaning brave.,Male,Native-American,-
Chochmo,Mud mound (Hopi).,Male,Native-American,-
Chochokpi,Throne for the clouds (Hopi).,Male,Native-American,-
Chochuschuvio,White tailed deer (Hopi).,Male,Native-American,-
Chogan,Blackbird (Algonquin).,Male,Native-American,-
Choovio,Antelope (Hopi).,Male,Native-American,-
Choviohoya,Young deer (Hopi).,Male,Native-American,-
Chowilawu,Joined together by water (Hopi).,Male,Native-American,-
Chu'a,Snake (Hopi).,Male,Native-American,-
Chuchip,Deer spirit (Hopi).,Male,Native-American,-
Chunta,Cheating (Hopi).,Male,Native-American,-
Chuslum Moxmox,Nez Perce name meaning yellow bull.,Male,Native-American,-
Ciqala,Little one (Dakota).,Male,Native-American,-
Cochise,Wood. Renowned warrior chief of the Chiricahua Apache.,Male,Native-American,-
Coowescoowe,Cherokee name meaning egret.,Male,Native-American,-
Dadgayadoh,Seneca name meaning gambling men.,Male,Native-American,-
Dakota,friend,Both,Native-American,-
Dakota,Friend; ally. Tribal name.,Male,Native-American,-
