Name,Meaning,Gender,Origin,Similar
Adok,Dark.,Male,Polish,-
Adolf,Noble wolf.,Male,Polish,-
Albin,White.,Male,Polish,-
Aleksandr,Polish form of Alexander 'defends mankind'.,Male,Polish,-
Aleksy,Polish form of Alexander 'defends mankind'.,Male,Polish,-
Alina,"bright, beautiful",Female,Polish,-
Andnej,Polish form of Andrew 'manly'.,Male,Polish,-
Apoloniusz,Polish form of Apollo 'god of the sun'.,Male,Polish,-
Armand,Soldier.,Male,Polish,-
Armandek,Soldier.,Male,Polish,-
Aron,Exalted.,Male,Polish,-
Artur,Polish form of Arthur 'bear'.,Male,Polish,-
Augustyn,Polish form of Augustus 'majestic'.,Male,Polish,-
Aurek,golden-haired,Male,Polish,-
Aurel,Variant of Aurek: Fair-haired.,Male,Polish,-
Aureli,Blond.,Male,Polish,-
Aurelian,Variant of Aurek: Fair-haired.,Male,Polish,-
Aurelio,Variant of Aurek: Fair-haired.,Male,Polish,-
Aurelius,Variant of Aurek: Fair-haired.,Male,Polish,-
Bazyli,royalty,Male,Polish,-
Bendek,Polish form of Benedict 'blessed'.,Male,Polish,-
Bendyk,Polish form of Benedict 'blessed'.,Male,Polish,-
Bialas,White; white haired.,Male,Polish,-
Bialy,white-haired boy,Male,Polish,-
Boguchwal,God's glory.,Male,Polish,-
Bogufal,Variant of Boguchwal: God's glory.,Male,Polish,-
Bogumierz,God is great.,Male,Polish,-
Bogumil,God's love; God's peace.,Male,Polish,-
Boguslaw,Gods glory.,Male,Polish,-
Bogusz,Variant of Boguchwal: God's glory.,Male,Polish,-
Bohusz,Variant of Boguchwal: God's glory.,Male,Polish,-
Boleslaw,Great glory.,Male,Polish,-
Borys,Stranger.,Male,Polish,-
Boryslaw,Battle glory.,Male,Polish,-
Bozydar,Gift from God.,Male,Polish,-
Bratumil,Brotherly love.,Male,Polish,-
Brunon,Brown (colour name).,Male,Polish,-
Budzislaw,Awakening glory.,Male,Polish,-
Budzisz,Variant of Budzislaw: Awakening glory.,Male,Polish,-
Budzyk,Variant of Budzislaw: Awakening glory.,Male,Polish,-
Casimir,Bringer of peace; announcing peace.,Male,Polish,-
Casimire,Variant of Casimir: Bringer of peace; announcing peace.,Male,Polish,-
Casimiro,Variant of Casimir: Bringer of peace; announcing peace.,Male,Polish,-
Castimer,Variant of Casimir: Bringer of peace; announcing peace.,Male,Polish,-
Chwalibog,Praise God.,Male,Polish,-
Cibor,Variant of Czcibor: Fights with honour.,Male,Polish,-
Cyprian,From Cyprus.,Male,Polish,-
Cyrek,Lordly.,Male,Polish,-
Cyryl,Lordly.,Male,Polish,-
Czcibor,Fights with honour.,Male,Polish,-
Czeck,Variant of Czeslaw: Glory and honour.,Male,Polish,-
Czesiek,Variant of Czeslaw: Glory and honour.,Male,Polish,-
Czeslaw,Glory and honour.,Male,Polish,-
Dezydery,To desire.,Male,Polish,-
Dionizy,Polish form of Dionysus 'god of wine'.,Male,Polish,-
Dobieslaw,Strives for glory.,Male,Polish,-
Dobromierz,Good/famous.,Male,Polish,-
Dobromil,Good grace.,Male,Polish,-
Dobroslaw,Good glory.,Male,Polish,-
Dobry,good,Male,Polish,-
Dodek,Gift; hero.,Male,Polish,-
Donat,Gift.,Male,Polish,-
Dorek,Gift from God.,Male,Polish,-
Dyzek,Earth-lover.,Male,Polish,-
Edek,Guardian of property.,Male,Polish,-
Egidiusz,Protective shield.,Male,Polish,-
Elek,Blond.,Male,Polish,-
Eljasz,God is the Lord.,Male,Polish,-
Emmilian,Active.,Male,Polish,-
Erek,lovable,Male,Polish,-
Eryk,Lovable.,Male,Polish,-
Eufemiusz,Nice voice.,Male,Polish,-
Eustachy,Steady; stable.,Male,Polish,-
Felcia,lucky,Female,Polish,-
Feliks,Polish form of Felix 'lucky'.,Male,Polish,-
Flawiusz,Blond.,Male,Polish,-
Florian,Flowering.,Male,Polish,-
