Name,Meaning,Gender,Origin,Similar
A-gun,grape,Female,Thai,-
A-wut,weapon,Male,Thai,-
Aat,daring,Male,Thai,-
Aawut,weapon,Male,Thai,-
Achara,pretty angel,Female,Thai,-
Adranuch,lady,Female,Thai,-
Ambhom,sky,Female,Thai,-
Anada,prosperous,Male,Thai,-
Ananada,prosperous,Male,Thai,-
Anchali,greeting,Female,Thai,-
Anuman,small patience,Male,Thai,-
Anurak,male angel,Male,Thai,-
Apasra,adorn,Female,Thai,-
Apsara,angelic,Female,Thai,-
Aran,forest,Male,Thai,-
Aroon,dawn,Male,Thai,-
Asnee,lightning,Male,Thai,-
Atid,the sun,Male,Thai,-
Benjakalyani,5th girl,Female,Thai,-
Boon-Mee,lucky,Male,Thai,-
Boon-Nam,good fortune,Male,Thai,-
Boribun,complete,Female,Thai,-
Bun Ma,to have luck,Female,Thai,-
Buppha,flower,Female,Thai,-
Busaba,floral,Female,Thai,-
Bussaba,flower,Female,Thai,-
Chaem Choi,gracefulness,Female,Thai,-
Chai Charoen,triumphant,Female,Thai,-
Chai Son,mischievous boy,Male,Thai,-
Chailai,pretty,Female,Thai,-
Chaisai,victory,Male,Thai,-
Chaisee,innocent,Female,Thai,-
Chaiya,victory,Male,Thai,-
Chaiyo,hurrah,Male,Thai,-
Chakan,able bodied,Male,Thai,-
Chalerm,celebrated,Male,Thai,-
Chalermchai,celebrated victory,Male,Thai,-
Chalermwan,celebrated beauty,Female,Thai,-
Chaloem,apex,Male,Thai,-
Chaloem Chai,victory,Female,Thai,-
Channarong,experienced warrior,Male,Thai,-
Chantana,affection,Female,Thai,-
Chanthira,moon,Female,Thai,-
Chao Fah,prince,Male,Thai,-
Charanya,young girl,Female,Thai,-
Chariya,good manners,Female,Thai,-
Charn Chai,good in fighting,Male,Thai,-
Charoen,development,Female,Thai,-
Charoen,to flourish,Male,Thai,-
Charoenrasamee,radiant of progress,Female,Thai,-
Charong,victorious male,Male,Thai,-
Charunee,ladylike,Female,Thai,-
Chatalerm,celebrated male,Male,Thai,-
Chatchada,crowning glory,Female,Thai,-
Chatchom,praiseworthy,Male,Thai,-
Chatmanee,jewel,Female,Thai,-
Chatrasuda,maiden,Female,Thai,-
Chatri,brave knight,Male,Thai,-
Chaveevan,beautiful complexion,Female,Thai,-
Chayan,eternal victory,Male,Thai,-
Chet,brother,Male,Thai,-
Chimlin,cute,Female,Thai,-
Chinda,precious stone,Female,Thai,-
Chintana,good thought,Female,Thai,-
Chirawan,eternal beauty,Female,Thai,-
Chomechai,beautiful girl,Female,Thai,-
Chomesri,gathering of beauty,Female,Thai,-
Chompoo,pink (the color),Male,Thai,-
Chongrak,faithful,Male,Thai,-
Choochai,victorious,Male,Thai,-
Chuachai,victorious,Male,Thai,-
Chuachan,generosity,Female,Thai,-
Chuanchen,persuasion,Male,Thai,-
Chuasiri,of good family,Female,Thai,-
Chuenchai,refreshing,Female,Thai,-
Chula,kite or minute,Male,Thai,-
Chulamai,minute,Male,Thai,-
Churai,good heart,Female,Thai,-
Dao,star,Female,Thai,-
Dara,evening star,Female,Thai,-
Daw,stars,Female,Thai,-
Decha,power,Male,Thai,-
Dok Mai,flower of a plant,Female,Thai,-
Dok Phi Sua,carnation,Female,Thai,-
Dok Rak,flower of love,Female,Thai,-
Dok-Ban-Yen,petunia like flower,Female,Thai,-
Dusadi,compliments,Female,Thai,-
Fa Ying,celestial princess,Female,Thai,-
Han,audacious,Female,Thai,-
Hansa,supreme happiness,Female,Thai,-
Hanuman,monkey god; dance,Female,Thai,-
Hom,fragrant,Female,Thai,-
Isra,freedom,Female,Thai,-
Ittiporn,power,Female,Thai,-
Kaew,gem,Female,Thai,-
Kalaya,good lady,Female,Thai,-
Kamala,of the heart,Female,Thai,-
Kamlai,jewelry bracelet,Female,Thai,-
Kamnan,village headman,Male,Thai,-
Kanchana,gold,Female,Thai,-
Kannika,a flower,Female,Thai,-
Kanok,design,Female,Thai,-
Kanya,girl,Female,Thai,-
Karawek,bird,Female,Thai,-
Karnchana,beautiful girl,Female,Thai,-
Kasem,happiness,Male,Thai,-
Kasemchai,victorious celebration,Male,Thai,-
Khemkhaeng,strong,Male,Thai,-
Khiew Wan,green sweet,Female,Thai,-
Khun Mae,honorable mother,Female,Thai,-
Kiet,honor,Male,Thai,-
Kit,deed; business,Male,Thai,-
Kitti,renown; famous,Male,Thai,-
Kittibun,famous fortune,Male,Thai,-
Kittichai,famous victory,Male,Thai,-
Kittichat,famous clan,Male,Thai,-
Kla,brave,Male,Thai,-
Kla Han,very brave,Male,Thai,-
Klaew Kla,daring and brave,Male,Thai,-
Klahan,brave,Male,Thai,-
Kob Chai,full of thanks,Male,Thai,-
Kob Khun,full of thanks,Male,Thai,-
Kob Sinn,full of treasure,Male,Thai,-
Kob Sook,full of happiness,Male,Thai,-
Kohsoom,lotus,Female,Thai,-
Kosum,flower,Female,Thai,-
Kovit,expert,Male,Thai,-
Kraisee,lion,Male,Thai,-
Kraisingha,famous lion,Male,Thai,-
Kriang Krai,well versed in victory,Male,Thai,-
Kriang Sak,full of power,Male,Thai,-
Kris,dagger,Male,Thai,-
Kukrit,great power; authority,Male,Thai,-
Kulap,flower rose,Female,Thai,-
Kusa,heart,Male,Thai,-
Kwanchai,essential heart,Male,Thai,-
Kwang,deer,Female,Thai,-
Kwanjai,sweetheart,Female,Thai,-
Lamai,soft,Female,Thai,-
Lamon,gentle,Male,Thai,-
Lawan,beautiful,Female,Thai,-
Lek,small person,Male,Thai,-
Madee,good beginning,Female,Thai,-
Mae Noi,little mother,Female,Thai,-
Malee,flower,Female,Thai,-
Mali,flower jasmine,Female,Thai,-
Malivalaya,climbing jasmine,Female,Thai,-
Maliwan,climbing jasmine,Female,Thai,-
Mani,gem,Female,Thai,-
Mayuree,beautiful,Female,Thai,-
Mee Noi,little bear,Male,Thai,-
Mekhala,goddess of the moon,Female,Thai,-
Mongkut,crown,Male,Thai,-
Muan Nang,ladylike,Female,Thai,-
Narong,to make war,Male,Thai,-
Ngam-Chit,good heart,Female,Thai,-
Ngoen,silver,Male,Thai,-
Nin,sapphire,Female,Thai,-
Niran,eternal,Male,Thai,-
Nong Yao,young lady,Female,Thai,-
On,soft or youthful,Female,Thai,-
On Choi,gracefulness,Female,Thai,-
Paitoon,moonstone,Male,Thai,-
Pakpao,fighter-kite,Female,Thai,-
Pen-Chan,full moon,Female,Thai,-
Pensri,beauty of the moon,Female,Thai,-
Phaibun,to prosper,Female,Thai,-
Phailin,sapphire,Female,Thai,-
Phairoh,pleasant sounding,Female,Thai,-
Phanumas,sun,Male,Thai,-
Phassakorn,sun,Male,Thai,-
Phawta,pleasing to the eye,Female,Thai,-
Phet,diamond,Male,Thai,-
Phichai,triumphant,Male,Thai,-
Phichit,to win,Male,Thai,-
Phitsamai,adorable,Female,Thai,-
Phloi,precious stones,Female,Thai,-
Phueng,bee,Female,Thai,-
Pichai,older brother,Male,Thai,-
Pimchan,like the moon,Female,Thai,-
Piyabutr,father's son,Male,Thai,-
Prasert,,Female,Thai,-
Pravat,history,Male,Thai,-
Prayut,to fight,Male,Thai,-
Pricha,clever,Male,Thai,-
Prija,intelligence,Female,Thai,-
Prisana,question,Female,Thai,-
Pu Yai Bahn,big man about town,Male,Thai,-
Puenthai,gun,Male,Thai,-
Pundit,the learned,Female,Thai,-
Rama,king,Male,Thai,-
Ratana,crystal,Female,Thai,-
Ratanaporn,crystal blessing,Female,Thai,-
Ritthirong,good in fighting,Male,Thai,-
Rochana,sweet words,Female,Thai,-
Rom Ran,to fight in battle,Male,Thai,-
Ruang Rit,mighty,Male,Thai,-
Ruang Sak,mighty; powerful,Male,Thai,-
Runrot,prosperous,Male,Thai,-
Saengdao,starlight,Female,Thai,-
Sajja,truth,Male,Thai,-
Sakda,power,Male,Thai,-
Samorn,beautiful and beloved,Female,Thai,-
San'ya,promise; pledge,Male,Thai,-
Sanan Nam,famous for name,Female,Thai,-
Sanoh,pleasant sounding,Female,Thai,-
Sanouk,enjoyable; festival,Female,Thai,-
Santichai,peaceful victory,Male,Thai,-
Sanun,happy,Male,Thai,-
Sap,wealth,Male,Thai,-
Sarai,seaweed,Female,Thai,-
Sarakit,every mentionable deed,Female,Thai,-
Sataheep,a town,Male,Thai,-
Satra,weapon,Male,Thai,-
Sawatdi,greeting,Female,Thai,-
Seni,military,Male,Thai,-
Si,color,Female,Thai,-
Si Fah,blue,Female,Thai,-
Si Mok,mist color,Female,Thai,-
Sin,money,Male,Thai,-
Sinn,treasure,Female,Thai,-
Solada,hearkens,Female,Thai,-
Som,orange (the fruit),Female,Thai,-
Som Chai,living up to heart's desire,Female,Thai,-
Som Kid,living up to intention,Female,Thai,-
Som Phon,blessing,Male,Thai,-
Som Phong,chip off the old block,Male,Thai,-
Som Wang,living up to hope,Female,Thai,-
Somchair,manly,Male,Thai,-
Son Chai,victory weapon,Male,Thai,-
Sonchai,masculine,Male,Thai,-
Songsuda,beautiful girl,Female,Thai,-
Sopa,very pretty,Female,Thai,-
Sroy,jewelry chain,Female,Thai,-
Su Suk,enemy resisting,Male,Thai,-
Suchada,good sister,Female,Thai,-
Suchin,beautiful thought,Female,Thai,-
Sud,tiger,Male,Thai,-
Sud Saming,spiritual form of tiger,Male,Thai,-
Suda,daughter or girl,Female,Thai,-
Sukhon,lovely fragrance,Female,Thai,-
Sukonta,beautiful perfume,Female,Thai,-
Sum,appropriate,Male,Thai,-
Sumalee,beautiful flower,Female,Thai,-
Sumana,good-hearted,Female,Thai,-
Sumatra,peak of excellence,Male,Thai,-
Sunan,good word,Male,Thai,-
Sunee,good thing,Female,Thai,-
Sunstra,beautiful eyes,Female,Thai,-
Sunti,peace,Male,Thai,-
Sup,treasure,Female,Thai,-
Taeng,melon,Female,Thai,-
Tansanee,beautiful view,Female,Thai,-
Tha Kai Bok,willow,Female,Thai,-
Thahan,soldier,Male,Thai,-
Thai,free freedom,Female,Thai,-
Thaklaew,militant,Male,Thai,-
Tham-Boon,merit making,Male,Thai,-
Thanom,with care,Male,Thai,-
Thapthim,ruby,Male,Thai,-
Thinnakorn,sun,Male,Thai,-
Thong,gold,Female,Thai,-
Thong Daeng,red gold,Male,Thai,-
Thong Dam,black gold,Female,Thai,-
Thong Di,good gold,Male,Thai,-
Thong Khao,white gold,Female,Thai,-
Thong Kon,gold lump,Male,Thai,-
Thong Thaem,gold to be added,Female,Thai,-
Thong Thaeng,ingots of gold,Male,Thai,-
Thong Thao,gold being inset,Female,Thai,-
Thuanthong,golden spear,Male,Thai,-
Ti Nung Cha,first class cat,Male,Thai,-
Tida,daughter,Female,Thai,-
Totsaken,Ramakien character,Female,Thai,-
Tukata,doll,Female,Thai,-
Ubol,lotus flower,Female,Thai,-
Udom,full of,Female,Thai,-
Vanida,girl,Female,Thai,-
Vidura,precious gem,Male,Thai,-
Virote,power,Male,Thai,-
Waan,sweet,Female,Thai,-
Waen,jewelry ring,Female,Thai,-
Wila,feline,Female,Thai,-
Winai,discipline,Female,Thai,-
Wipa,beautiful girl,Female,Thai,-
Xuwicha,excellent education,Male,Thai,-
Ya Chai,sweetheart,Female,Thai,-
Yindee,pleasure,Female,Thai,-
Ying,or feminine,Female,Thai,-
Yod Rak,beloved,Male,Thai,-
Yong-Yut,good in fighting,Female,Thai,-
Yu-Pha,young girl,Female,Thai,-
Yu-Phin,beautiful girl,Female,Thai,-
Yuthakon,warrior,Male,Thai,-
